MSOA_Code,MSOA_Name,house_mean_price,crime_rate,PM_index,education
E02000094,Brent 002,303805,70,97,439.5
E02000095,Brent 003,360309,78,97,471.2
E02000096,Brent 004,388588,52,96,462.2
E02000097,Brent 005,322749,56,97,437.8
E02000098,Brent 006,356494,44,97,421.9
E02000099,Brent 007,298311,52,97,411.5
E02000100,Brent 008,400885,56,97,498.4
E02000101,Brent 009,327753,78,99,397.7
E02000102,Brent 010,249782,51,102,401
E02000103,Brent 011,310997,73,102,444
E02000104,Brent 012,301508,74,99,415.6
E02000105,Brent 013,251839,65,98,505.9
E02000106,Brent 014,304310,106,108,442.5
E02000107,Brent 015,411591,67,100,426.6
E02000108,Brent 016,236697,43,98,493.3
E02000109,Brent 017,243400,106,99,406
E02000110,Brent 018,507043,56,99,465.7
E02000111,Brent 019,272820,76,98,457.6
E02000112,Brent 020,285933,117,100,411.7
E02000113,Brent 021,255150,109,106,383.6
E02000114,Brent 022,359512,82,101,408.6
E02000115,Brent 023,488688,91,102,503
E02000116,Brent 024,298479,90,101,394.4
E02000117,Brent 025,253679,108,103,398.7
E02000118,Brent 026,245125,72,99,449.2
E02000119,Brent 027,220723,119,102,389.3
E02000120,Brent 028,518767,105,102,419.5
E02000121,Brent 029,225706,100,99,424
E02000122,Brent 030,850064,54,99,462.9
E02000123,Brent 031,342808,123,106,409.9
E02000124,Brent 032,516365,99,103,458.9
E02000125,Brent 033,514270,58,103,431.1
E02000126,Brent 034,312319,65,104,389.8
E02000127,Bromley 001,247586,81,96,440.6
E02000128,Bromley 002,309810,69,95,509.4
E02000129,Bromley 003,270002,54,95,502.8
E02000130,Bromley 004,306075,93,97,451.8
E02000131,Bromley 005,223025,91,98,442.5
E02000132,Bromley 006,276184,86,97,418.4
E02000133,Bromley 007,594012,43,95,523
E02000134,Bromley 008,298107,123,97,542.4
E02000135,Bromley 009,209234,84,97,389.6
E02000136,Bromley 010,371678,69,95,470.4
E02000137,Bromley 011,327281,43,95,511.1
E02000138,Bromley 012,346701,33,96,487.5
E02000139,Bromley 013,329479,54,96,475.1
E02000140,Bromley 014,205028,81,95,417.2
E02000141,Bromley 015,247571,67,97,461.5
E02000142,Bromley 016,326508,46,97,500.9
E02000143,Bromley 017,320124,57,97,460.4
E02000144,Bromley 018,326602,115,97,546.4
E02000145,Bromley 019,172737,114,93,423.8
E02000146,Bromley 020,266691,42,96,522.8
E02000147,Bromley 021,440316,29,95,500.9
E02000148,Bromley 022,421382,48,93,512.6
E02000149,Bromley 023,219689,73,94,448.9
E02000150,Bromley 024,394525,69,95,457.9
E02000151,Bromley 025,456291,33,93,511.5
E02000152,Bromley 026,318559,52,94,446.5
E02000153,Bromley 027,394323,25,94,450.4
E02000154,Bromley 028,330533,89,94,536.2
E02000155,Bromley 029,252567,40,94,485.4
E02000156,Bromley 030,372860,35,95,472.9
E02000157,Bromley 031,339030,19,94,546.2
E02000158,Bromley 032,292921,51,93,484.4
E02000159,Bromley 033,533020,51,94,537.1
E02000160,Bromley 034,409403,44,94,465.6
E02000161,Bromley 035,300058,22,93,516.9
E02000162,Bromley 036,331040,48,92,499.2
E02000163,Bromley 037,405412,43,92,497.2
E02000164,Bromley 038,354131,58,92,467.6
E02000165,Bromley 039,240389,42,92,440.5
E02000166,Camden 001,841157,81,99,356.2
E02000167,Camden 002,1288115,78,101,421
E02000168,Camden 003,658291,113,105,466.3
E02000169,Camden 004,1619090,54,103,398.5
E02000170,Camden 005,647544,55,102,457.4
E02000171,Camden 006,791014,57,105,405.6
E02000172,Camden 007,489156,79,104,379.5
E02000173,Camden 008,1275480,81,106,452.2
E02000174,Camden 009,466924,68,105,422.3
E02000175,Camden 010,569011,89,105,436.3
E02000176,Camden 011,850661,51,103,445.8
E02000177,Camden 012,479224,103,106,354.8
E02000178,Camden 013,414772,94,103,399.9
E02000179,Camden 014,851042,65,107,415
E02000180,Camden 015,473124,84,111,419.1
E02000181,Camden 016,663407,54,101,385.4
E02000182,Camden 017,1385852,97,107,413
E02000183,Camden 018,1320660,242,104,434
E02000184,Camden 019,388115,132,112,415.6
E02000185,Camden 020,452031,107,106,425.4
E02000186,Camden 021,1778024,532,110,383.5
E02000187,Camden 022,429959,98,110,405.9
E02000188,Camden 023,319342,71,111,408.7
E02000189,Camden 024,573162,169,116,375.7
E02000190,Camden 025,461845,152,113,390.4
E02000191,Camden 026,878259,385,119,386.5
E02000192,Camden 027,636632,147,112,382.6
E02000193,Camden 028,801239,656,118,431
E02000194,Croydon 001,273775,84,98,451.2
E02000195,Croydon 002,322514,59,97,469.5
E02000196,Croydon 003,292311,67,98,448.3
E02000197,Croydon 004,260943,64,98,467.3
E02000198,Croydon 005,198119,77,99,473.8
E02000199,Croydon 006,216597,62,98,492.7
E02000200,Croydon 007,209594,90,98,490.7
E02000201,Croydon 008,180117,100,98,452.6
E02000202,Croydon 009,217175,65,97,465.1
E02000203,Croydon 010,186669,117,99,443.4
E02000204,Croydon 011,215836,88,99,454.3
E02000205,Croydon 012,214005,66,96,458.8
E02000206,Croydon 013,187923,103,98,467
E02000207,Croydon 014,187806,68,97,480
E02000208,Croydon 015,167811,104,98,412.7
E02000209,Croydon 016,185485,89,100,442.4
E02000210,Croydon 017,216352,49,96,505.3
E02000211,Croydon 018,298064,34,94,452.2
E02000212,Croydon 019,180009,137,101,439.5
E02000213,Croydon 020,178838,177,100,450.6
E02000214,Croydon 021,291593,48,97,505.4
E02000215,Croydon 022,213819,68,98,476
E02000216,Croydon 023,288640,39,96,443.6
E02000217,Croydon 024,195345,186,101,439.5
E02000218,Croydon 025,306318,44,94,412.8
E02000219,Croydon 026,326966,69,95,495.3
E02000220,Croydon 027,183020,251,101,490.3
E02000221,Croydon 028,233600,82,99,427.5
E02000222,Croydon 029,265500,62,97,510.3
E02000223,Croydon 030,169545,71,94,399.1
E02000224,Croydon 031,248444,77,97,488.4
E02000225,Croydon 032,185636,56,93,410.2
E02000226,Croydon 033,332831,36,95,507.3
E02000227,Croydon 034,221672,45,93,440.7
E02000228,Croydon 035,421052,31,95,544.4
E02000229,Croydon 036,178667,85,93,443.6
E02000230,Croydon 037,331777,74,98,494.3
E02000231,Croydon 038,586091,38,95,516.3
E02000232,Croydon 039,323223,37,93,473.3
E02000233,Croydon 040,287060,39,95,452.4
E02000234,Croydon 041,317575,52,95,468.8
E02000235,Croydon 042,346189,34,93,469.2
E02000236,Croydon 043,352933,32,93,519.2
E02000237,Croydon 044,317920,35,92,508.2
E02000238,Ealing 001,241679,62,97,448.1
E02000239,Ealing 002,295494,51,98,506.9
E02000240,Ealing 003,234357,62,97,410.2
E02000241,Ealing 004,238025,81,97,440.2
E02000242,Ealing 005,287552,51,97,452.2
E02000243,Ealing 006,238952,87,99,450.5
E02000244,Ealing 007,257125,107,102,476.6
E02000245,Ealing 008,175036,81,98,438.4
E02000246,Ealing 009,205626,77,96,453.2
E02000247,Ealing 010,203008,79,98,413.3
E02000248,Ealing 011,384253,91,109,489.9
E02000249,Ealing 012,272561,95,99,441
E02000250,Ealing 013,530468,41,100,571.8
E02000251,Ealing 014,258838,55,97,451.5
E02000252,Ealing 015,296305,147,106,421.8
E02000253,Ealing 016,284433,70,98,451.5
E02000254,Ealing 017,240778,47,98,421.4
E02000255,Ealing 018,430909,53,101,453.5
E02000256,Ealing 019,579555,60,103,505.2
E02000257,Ealing 020,456470,149,104,442.5
E02000258,Ealing 021,426203,54,104,458.7
E02000259,Ealing 022,355559,58,99,497.1
E02000260,Ealing 023,250214,141,103,456.7
E02000261,Ealing 024,359424,92,105,465.9
E02000262,Ealing 025,435476,148,102,455.5
E02000263,Ealing 026,223252,78,101,471.2
E02000264,Ealing 027,446740,83,103,467.2
E02000265,Ealing 028,360048,102,102,460.3
E02000266,Ealing 029,224492,96,100,434.5
E02000267,Ealing 030,338391,67,102,446.3
E02000268,Ealing 031,532049,59,100,451.1
E02000269,Ealing 032,485586,57,99,517.6
E02000270,Ealing 033,412422,73,100,426.8
E02000271,Ealing 034,788812,80,99,446.3
E02000272,Ealing 035,481057,42,98,504
E02000273,Ealing 036,556309,59,100,461.3
E02000274,Ealing 037,215526,87,100,455.9
E02000275,Ealing 038,320166,89,99,504.2
E02000276,Ealing 039,399989,50,100,459.7
E02000277,Enfield 001,214710,51,100,431
E02000278,Enfield 002,194889,75,99,379.9
E02000279,Enfield 003,205965,56,96,382.2
E02000280,Enfield 004,284917,49,95,437.2
E02000281,Enfield 005,221449,56,97,406.9
E02000282,Enfield 006,193992,85,96,376.7
E02000283,Enfield 007,231211,62,95,368.3
E02000284,Enfield 008,261262,49,95,448.3
E02000285,Enfield 009,296872,34,96,466.2
E02000286,Enfield 010,305622,43,95,521.4
E02000287,Enfield 011,877666,40,93,478.6
E02000288,Enfield 012,193742,105,97,376.6
E02000289,Enfield 013,424716,28,94,494.3
E02000290,Enfield 014,165080,93,96,382.6
E02000291,Enfield 015,237393,91,96,407.6
E02000292,Enfield 016,240833,67,97,449.3
E02000293,Enfield 017,472105,46,95,519.9
E02000294,Enfield 018,218088,62,96,408.2
E02000295,Enfield 019,349061,35,96,483.8
E02000296,Enfield 020,300476,69,96,425.3
E02000297,Enfield 021,337675,39,98,490.6
E02000298,Enfield 022,458071,45,96,509.5
E02000299,Enfield 023,192398,58,96,424.5
E02000300,Enfield 024,194118,50,99,441.6
E02000301,Enfield 025,177020,68,96,404
E02000302,Enfield 026,324368,50,97,453.3
E02000303,Enfield 027,212693,89,100,449.2
E02000304,Enfield 028,505317,47,97,503.7
E02000305,Enfield 029,355007,72,98,443.9
E02000306,Enfield 030,172836,132,102,417.7
E02000307,Enfield 031,245538,53,102,475.7
E02000308,Enfield 032,329911,63,102,436.1
E02000309,Enfield 033,194679,126,106,424.9
E02000310,Enfield 034,175699,94,102,427.4
E02000311,Enfield 035,270568,61,102,432
E02000312,Enfield 036,305781,67,102,441.6
E02000313,Greenwich 001,158497,64,96,421.1
E02000314,Greenwich 002,173288,70,96,450
E02000315,Greenwich 003,161879,77,95,426.8
E02000316,Greenwich 004,234504,153,100,467.9
E02000317,Greenwich 005,192897,62,98,400.1
E02000318,Greenwich 006,166416,81,96,437.2
E02000319,Greenwich 007,180214,57,97,442.3
E02000320,Greenwich 008,194674,53,96,422.6
E02000321,Greenwich 009,184682,67,98,423.8
E02000322,Greenwich 010,371423,159,106,451.1
E02000323,Greenwich 011,185098,87,98,455.1
E02000324,Greenwich 012,287202,67,99,374.8
E02000325,Greenwich 013,185604,54,96,458.8
E02000326,Greenwich 014,320096,48,104,476.5
E02000327,Greenwich 015,183793,71,98,449.7
E02000328,Greenwich 016,491422,50,102,538.6
E02000329,Greenwich 017,191460,40,95,441.6
E02000330,Greenwich 018,359055,110,102,451.6
E02000331,Greenwich 019,237391,70,100,434.6
E02000332,Greenwich 020,244183,45,96,505.3
E02000333,Greenwich 021,500377,66,102,479.2
E02000334,Greenwich 022,258501,43,98,397.8
E02000335,Greenwich 023,255008,33,98,511
E02000336,Greenwich 024,282600,50,100,413.8
E02000337,Greenwich 025,205436,50,104,400.1
E02000338,Greenwich 026,373418,81,99,444.4
E02000339,Greenwich 027,328952,98,104,558.4
E02000340,Greenwich 028,287387,117,97,505.3
E02000341,Greenwich 029,221990,68,99,339.1
E02000342,Greenwich 030,208114,44,96,427.2
E02000343,Greenwich 031,258508,65,98,448.1
E02000344,Greenwich 032,269686,46,98,477.8
